elevation,plant_phylo_diversity,plant_species_richness,pollinator_phylo_diversity,pollinator_family_richness,floral_all_traits,floral_display_no_color,floral_morphology,floral_nectary,floral_pollen,floral_color_only,floral_all_traits_weighted,floral_display_weighted,floral_morphology_weighted,floral_nectary_weighted,floral_pollen_weighted,floral_color_weighted,pollinator_all_traits,pollinator_morphology,pollinator_pollen,pollinator_all_traits_weighted,pollinator_morphology_weighted,pollinator_pollen_weighted,linkage_density,h2,modularityQ,weighted_NODF,elevation2
2085,1180.7747705,17,3637.704382,13,0.883508429397503,0.733402456009577,0.867702967332719,0.441885804667883,0.587518857779465,0.988043712627955,0.761612065703779,0.650873704976879,0.704922742217372,0.464519772467413,0.464412395416349,0.936564087363699,0.945087388472492,0.830836983910481,0.934808996940694,0.935825430069714,0.489681765959835,0.774521870484057,4.0163136753264,0.386969649378631,0.413793103448276,28.2238792953079,4347225
2072,1623.5856255,25,3701.683542,11,0.935848970078265,0.866610909599378,0.914545838407775,0.629874291198258,0.683335265898158,0.9658081971492,0.88032923767931,0.567961328383751,0.554444142176209,0.212376518401801,0.441376246110128,0.852236256364426,0.944355681363633,0.868009084329553,0.932089164285129,0.945670367693148,0.5531396495093,0.887117886006679,4.09092204379155,0.372390896463503,0.415476953557485,19.2918586789555,4293184
2276,2087.6004155,33,4560.014187,15,0.927526633549812,0.848825141609478,0.906450302026329,0.602202514848091,0.688560290082274,0.981165580125698,0.845448600436352,0.66519644459816,0.828883721159038,0.594379352419106,0.890003548524621,0.957737595570027,0.985857577273312,0.960352662208217,0.975271532556886,0.978901226860633,0.951017920515627,0.958788076647028,6.15326045282644,0.335140557824897,0.426715439719555,29.3668315811173,5180176
2283,2262.7815495,39,4762.473152,16,0.873019435713573,0.797017953335091,0.791564941922927,0.488161698231343,0.664546745581852,0.980228649216589,0.880232376180942,0.719988726417749,0.817906688425607,0.566368119304772,0.838683509572414,0.984216866788408,0.989693989218132,0.985463346916732,0.983713594268693,0.988296265420772,0.898622548475203,0.96143259781238,4.07227826409531,0.494338077732573,0.511612378443347,13.2211514656368,5212089
2289,1883.695602,36,5539.108817,19,0.793107439963526,0.691356196681011,0.644271784826382,0.365856462314247,0.501107702696181,0.953948949394904,0.797519256037807,0.598709743209191,0.760284303269365,0.595843866077527,0.580075462577999,0.946419664419188,0.992780980366812,0.986862161254646,0.986662000199016,0.96776402115194,0.914871488750667,0.933815661865082,4.46479898378581,0.440317238506511,0.490527147678243,13.5067540936615,5239521
2381,1477.028571,21,3869.295372,11,0.661890064175255,0.541738440866449,0.598048240464433,0.298346081037112,0.421986357245479,0.88537994901009,0.652698366895107,0.302880958574179,0.284781996969431,0.118642481655254,0.247891358209521,0.814844077236056,0.985573365407217,0.87058649670456,0.993435055193268,0.880730971831773,0.853147982419858,0.993858704167234,4.50671718289797,0.364698364577439,0.386758668879378,27.2223670490094,5669161
2380,1312.174101,21,5212.587222,15,0.67607654400162,0.532830474507524,0.680962156738759,0.444300949124645,0.424130357949392,0.882814309093326,0.155138890089391,0.0422232254629937,0.375226963053156,0.160351962901026,0.279919607762923,0.420974165652465,0.993607947819153,0.904779849112596,0.992146229126036,0.917060286089718,0.741168258945689,0.993564378413469,3.27689145568497,0.614987829575487,0.504778407897501,12.5724637681159,5664400
2377,2030.772984,30,3617.226597,10,0.76222192918425,0.639501908577982,0.748777503108046,0.470574473591886,0.559240264253127,0.92581506476064,0.737453644847719,0.522801677959496,0.783297942365489,0.534514683607507,0.609589840583693,0.891255722717719,0.993616653032479,0.947002537100414,0.993235435409522,0.92703688136347,0.881385458074743,0.988764803493186,4.84723199775187,0.352482168310686,0.392559548859523,19.9419015328106,5650129
2580,945.938279,13,1979.935327,5,0.618381402211867,0.374814589512422,0.607588619652212,0.278522426223982,0.387890484000325,0.747129364152775,0.620350577798606,0.428302462153922,0.57496730505698,0.416757464387069,0.374998499788217,0.461658109338475,0.925948197749533,0.838556095515458,0.916086090913488,0.848854580501057,0.270858888440494,0.53793191379314,3.20796116139149,0.137360381464948,0.179995544664736,35.8072916666667,6656400
2583,1069.674254,16,1371.247527,3,0.612442262414406,0.434483624192394,0.605602511194123,0.366859679561974,0.419747892739522,0.793140033063536,0.0738454571220715,0.0248635098897612,0.282346493640654,0.132921305928905,0.191162187932821,0.499974596637108,0.972072030171938,0.990618586735191,0.941883270190058,0.769557711902789,0.425314927568317,0.548277677724649,2.78527029145956,0.0565378140129623,0.15495867768595,60.7142857142857,6671889
2597,734.442079,16,1076.013137,3,0.495179821120824,0.249480900106839,0.347365691650049,0.184821699275825,0.256605751221704,0.867793850583035,0,0,0.406909238402059,0.298542516532669,0.433758377955555,0.882765171276161,0.945008999574696,0.91254895572264,0.92453655012736,0.844339854510027,0.658561454131925,0.8196973610281,3.51223239300613,0.24608934301043,0.308956916099773,11.8489583333333,6744409
