species,level,network,elevation,n.elevation,transect,degree,species.strength,NSI,betweenness,partner.diversity,d
Aphididae,Animal,1181.1,1181,1181,1,1,0.04,1.83870967741935,0,0,0.247339928979825
Apidae,Animal,1181.1,1181,1181,1,3,0.543255813953488,1.46774193548387,0.0119675393342683,1.09861228866811,0.309734737401852
Apis,Animal,1181.1,1181,1181,1,4,0.755952380952381,1.59677419354839,0.00853811366281569,0.991138896613094,0.469932181636976
Auchenorrhyncha,Animal,1181.1,1181,1181,1,1,0.0196078431372549,1.69354838709677,0,0,0.0806330156937919
Bombus,Animal,1181.1,1181,1181,1,6,4.60714285714286,1.85483870967742,0.000323395380979433,1.51794977466137,0.801699328922767
Botanophila,Animal,1181.1,1181,1181,1,5,0.249138166894665,1.17741935483871,0.0556781685972397,1.49417513828931,0.105065476938552
Bradysia,Animal,1181.1,1181,1181,1,8,1.06913816689466,1.12903225806452,0.0797741389618668,1.87752428114939,0.163712446359466
Calliphoridae,Animal,1181.1,1181,1181,1,4,0.259424603174603,1.5,0.0320648555460881,1.33217904021012,0.226439337996473
Carnidae,Animal,1181.1,1181,1181,1,1,0.0232558139534884,1.64516129032258,0,0,0.120529868120986
Ceratopogonidae,Animal,1181.1,1181,1181,1,2,0.0596078431372549,1.56451612903226,0.00883335055402917,0.693147180559945,0.128865366030682
Chalcidoidea,Animal,1181.1,1181,1181,1,1,0.02,1.70967741935484,0,0,0.0852634045867026
Cheilosia,Animal,1181.1,1181,1181,1,4,0.65125,1.54838709677419,0.0115125178304886,1.38629436111989,0.346828017954938
Chloropidae,Animal,1181.1,1181,1181,1,4,0.124922480620155,1.20967741935484,0.0653839703213237,1.242453324894,0.0993575440368564
Chrysomelidae,Animal,1181.1,1181,1181,1,1,0.0697674418604651,1.64516129032258,0,0,0.340971597237478
Chrysotoxum,Animal,1181.1,1181,1181,1,1,0.0357142857142857,1.88709677419355,0,0,0.220840622708734
Coenosia,Animal,1181.1,1181,1181,1,9,3.04169174646603,1.37096774193548,0.0301620138910196,1.94683899920539,0.3694427477952
Diplonevra,Animal,1181.1,1181,1181,1,1,0.04,1.83870967741935,0,0,0.247339928979825
Dolichopodidae,Animal,1181.1,1181,1181,1,2,0.52,1.70967741935484,0,0.693147180559945,0.438974865874514
Drymeia,Animal,1181.1,1181,1181,1,1,1,,0,0,1
Elateridae,Animal,1181.1,1181,1181,1,1,0.142857142857143,1.93548387096774,0,0,0.544993671494979
Empididae,Animal,1181.1,1181,1181,1,10,2.44802705578355,1.08064516129032,0.148517036392209,2.03493722906302,0.266230615065556
Ephydridae,Animal,1181.1,1181,1181,1,1,0.0138888888888889,1.67741935483871,0,0,0
Epidapus,Animal,1181.1,1181,1181,1,1,0.0138888888888889,1.67741935483871,0,0,0
Epistrophe,Animal,1181.1,1181,1181,1,2,0.0596078431372549,1.56451612903226,0.00883335055402917,0.693147180559945,0.128865366030682
Episyrphus,Animal,1181.1,1181,1181,1,2,0.0632558139534884,1.53225806451613,0.00973324489617773,0.693147180559945,0.14965182987705
Eristalis,Animal,1181.1,1181,1181,1,3,0.18936877076412,1.54838709677419,0.0127819361884195,1.05492016798614,0.273636717205588
Eupeodes,Animal,1181.1,1181,1181,1,1,0.0196078431372549,1.69354838709677,0,0,0.0806330156937919
Formica,Animal,1181.1,1181,1181,1,6,1.8325,1.25806451612903,0.0715706231234355,1.35397697172103,0.386898543452104
Haematobia,Animal,1181.1,1181,1181,1,1,0.0232558139534884,1.64516129032258,0,0,0.120529868120986
Ichneumonidae,Animal,1181.1,1181,1181,1,1,0.03125,1.82258064516129,0,0,0.189617378034389
Issidae,Animal,1181.1,1181,1181,1,3,0.078577942805029,1.41935483870968,0.0223963232428917,1.09861228866811,0.0903661701271922
Lasioglossum,Animal,1181.1,1181,1181,1,4,0.26453868369053,1.30645161290323,0.0257008370669599,1.27985422583367,0.166138324783343
Lasius,Animal,1181.1,1181,1181,1,1,0.0138888888888889,1.67741935483871,0,0,0
Leptothorax,Animal,1181.1,1181,1181,1,1,0.03125,1.82258064516129,0,0,0.189617378034389
Megaselia,Animal,1181.1,1181,1181,1,2,0.0677777777777778,1.56451612903226,0.00960406081836129,0.636514168294813,0.143112820712685
Micropterix,Animal,1181.1,1181,1181,1,1,0.02,1.70967741935484,0,0,0.0852634045867026
Miridae,Animal,1181.1,1181,1181,1,4,0.322362956810631,1.48387096774194,0.0143624547431863,1.33217904021012,0.317832720634883
Musca,Animal,1181.1,1181,1181,1,2,0.143255813953488,1.46774193548387,0.0119675393342683,0.410116318288409,0.36356308153396
Muscidae10,Animal,1181.1,1181,1181,1,1,0.02,1.70967741935484,0,0,0.0852634045867026
Muscidae3,Animal,1181.1,1181,1181,1,4,0.576384600351769,1.32258064516129,0.0325163404387685,1.36892236074022,0.277082436981823
Muscidae8,Animal,1181.1,1181,1181,1,1,0.02,1.70967741935484,0,0,0.0852634045867026
Muscidae9,Animal,1181.1,1181,1181,1,3,0.582107843137255,1.56451612903226,0.00805468791470988,1.03972077083992,0.3596314793976
Myolepta,Animal,1181.1,1181,1181,1,2,0.123255813953488,1.62903225806452,0.000595454070509589,0.693147180559945,0.261279003246613
Nitidulidae,Animal,1181.1,1181,1181,1,1,0.0138888888888889,1.67741935483871,0,0,0
Pegoplata,Animal,1181.1,1181,1181,1,4,0.201360389116887,1.30645161290323,0.0307139584030942,1.33217904021012,0.142281591867724
Phoridae,Animal,1181.1,1181,1181,1,2,0.0334967320261438,1.48387096774194,0.00997203846839751,0.693147180559945,0
Platycheirus,Animal,1181.1,1181,1181,1,2,0.214285714285714,1.87096774193548,0.00126991094945441,0.693147180559945,0.441436061905227
Platygastridae,Animal,1181.1,1181,1181,1,1,0.0196078431372549,1.69354838709677,0,0,0.0806330156937919
Rhagionidae,Animal,1181.1,1181,1181,1,1,0.02,1.70967741935484,0,0,0.0852634045867026
Saltella,Animal,1181.1,1181,1181,1,2,0.348039215686275,1.66129032258065,0.00105708818677394,0.598269588585257,0.444581344702402
Sarcophaga,Animal,1181.1,1181,1181,1,1,0.142857142857143,2.03225806451613,0,0,0.544993671494979
Sarcophagidae,Animal,1181.1,1181,1181,1,3,0.372941176470588,1.48387096774194,0.0133061851323348,1.09861228866811,0.262204526294424
Scarabaeidae,Animal,1181.1,1181,1181,1,1,0.02,1.70967741935484,0,0,0.0852634045867026
Sciara,Animal,1181.1,1181,1181,1,1,0.0232558139534884,1.64516129032258,0,0,0.120529868120986
Sepsis,Animal,1181.1,1181,1181,1,4,0.291964285714286,1.5,0.0297671620810978,1.07354284640852,0.291730306198515
Siphona,Animal,1181.1,1181,1181,1,1,0.125,1.91935483870968,0,0,0.513770426820633
Sphaerophoria,Animal,1181.1,1181,1181,1,1,0.04,1.83870967741935,0,0,0.247339928979825
Syrphidae,Animal,1181.1,1181,1181,1,13,4.34240215078279,1.12903225806452,0.122713535435065,2.299112086188,0.269456224241028
Syrphus,Animal,1181.1,1181,1181,1,1,1,,0,0,1
Themira,Animal,1181.1,1181,1181,1,2,0.138888888888889,1.64516129032258,0.00323484558559185,0.693147180559945,0.225666802997243
Thricops,Animal,1181.1,1181,1181,1,5,0.640741319783727,1.32258064516129,0.0325163404387685,1.41427906512471,0.269833712046673
Thripidae,Animal,1181.1,1181,1181,1,1,0.0138888888888889,1.67741935483871,0,0,0
Achillea_millefolium,Plant,1181.2,1181,1181,2,8,0.629421041058972,1.4,0.033400606595051,2.02532622077007,0.159746486410958
Alchemilla_xanthochlora,Plant,1181.2,1181,1181,2,8,3.00353535353535,1.53333333333333,0.00383744855967078,1.73798344858705,0.458522349128576
Bellis_perennis,Plant,1181.2,1181,1181,2,1,0.0333333333333333,1.7,0,0,0.151256652629735
Biscutella_laevigata,Plant,1181.2,1181,1181,2,16,4.45056670590779,1.16666666666667,0.108457524985303,2.32454628744979,0.327652478912103
Calluna_vulgaris,Plant,1181.2,1181,1181,2,12,3.73306963796094,1.3,0.0446919592752926,1.8133083072156,0.527611548873917
Campanula_rotundifolia,Plant,1181.2,1181,1181,2,4,1.16358543417367,1.53333333333333,0.00881099353321576,1.38629436111989,0.407378741006746
Campanula_scheuchzeri,Plant,1181.2,1181,1181,2,1,0.0714285714285714,1.8,0,0,0.341442997717156
Cirsium_acaule,Plant,1181.2,1181,1181,2,2,0.277027027027027,1.86666666666667,0.000538720538720539,0.693147180559945,0.362273036793564
Crepis_aurea,Plant,1181.2,1181,1181,2,1,0.142857142857143,2.03333333333333,0,0,0.514412688162233
Galium_mollugo,Plant,1181.2,1181,1181,2,2,0.0717391304347826,1.6,0.0011522633744856,0.693147180559945,0.129097012902284
Hypericum_maculatum,Plant,1181.2,1181,1181,2,7,1.66786424714813,1.5,0.0421375794986906,1.90615474653985,0.380112260975741
Leontodon_hispidus,Plant,1181.2,1181,1181,2,12,7.5580440872001,1.53333333333333,0.0297806771417883,2.32218794280707,0.654921496648689
Leucanthemum_vulgare,Plant,1181.2,1181,1181,2,18,9.14668893908024,1.2,0.138729757896425,2.43661124349643,0.510593471516806
Lotus_corniculatus,Plant,1181.2,1181,1181,2,1,0.5,2.06666666666667,0,0,0.827030309554923
Parnassia_palustris,Plant,1181.2,1181,1181,2,2,0.666666666666667,1.8,0.00146464646464646,0.693147180559945,0.682884799603055
Pilosella_lactucella,Plant,1181.2,1181,1181,2,1,0.0666666666666667,1.9,0,0,0.324226343074812
Pimpinella_major,Plant,1181.2,1181,1181,2,20,8.74580404602893,1.1,0.240988389182834,2.65063418610037,0.411921829598906
Plantago_lanceolata,Plant,1181.2,1181,1181,2,2,1.02173913043478,1.63333333333333,0,0.693147180559945,0.511402014317415
Plantago_media,Plant,1181.2,1181,1181,2,1,0.0625,1.8,0,0,0.308121238219692
Potentilla_aurea,Plant,1181.2,1181,1181,2,23,9.72110294862852,1.13333333333333,0.146729129923574,2.76820229076211,0.423259663068952
Potentilla_erecta,Plant,1181.2,1181,1181,2,17,7.82865618962277,1.36666666666667,0.0191927208593875,2.36678053061282,0.40577737901581
Prunella_vulgaris,Plant,1181.2,1181,1181,2,2,0.3125,1.83333333333333,0,0.693147180559945,0.469257711343167
Ranunculus_acris,Plant,1181.2,1181,1181,2,10,2.40350141120602,1.3,0.0527940783496339,2.05394460267133,0.400283541360931
Rumex_alpestris,Plant,1181.2,1181,1181,2,5,1.65,1.56666666666667,0.00283082144193255,1.6094379124341,0.53227693644371
Scabiosa_columbaria,Plant,1181.2,1181,1181,2,14,7.562057443954,1.4,0.0507875046763936,1.82298866806867,0.644899375706582
Scorzoneroides_autumnalis,Plant,1181.2,1181,1181,2,1,0.142857142857143,1.9,0,0,0.514412688162233
Stellaria_graminea,Plant,1181.2,1181,1181,2,4,0.691125541125541,1.56666666666667,0.00344436427769761,1.33217904021012,0.322674534587876
Taraxacum_campylodes,Plant,1181.2,1181,1181,2,1,0.166666666666667,1.86666666666667,0,0,0.552879836438129
Thymus_praecox,Plant,1181.2,1181,1181,2,19,5.33084829271111,1.23333333333333,0.0655899604510716,2.09551503282598,0.487446088168931
Trifolium_pratense,Plant,1181.2,1181,1181,2,4,1.15996538410332,1.7,0.00464085297418631,1.33217904021012,0.355523873336904
Viola_canina,Plant,1181.2,1181,1181,2,1,0.0181818181818182,1.66666666666667,0,0,0
Agriphila,Animal,1181.2,1181,1181,2,1,0.2,2.20253164556962,0,0,0.618572111988375
Agromyzidae,Animal,1181.2,1181,1181,2,2,0.038515406162465,1.65822784810127,0.00131259049422403,0.693147180559945,0.0554382591954327
Andrena,Animal,1181.2,1181,1181,2,3,0.123988414686089,1.63291139240506,0.0161562706960414,1.09861228866811,0.200210412250884
Anoplus,Animal,1181.2,1181,1181,2,1,0.0147058823529412,1.72151898734177,0,0,0
Anthomyiidae2,Animal,1181.2,1181,1181,2,6,0.804490174664697,1.34177215189873,0.0683684542086056,1.5626639830847,0.370638236609291
Aphididae,Animal,1181.2,1181,1181,2,1,0.0769230769230769,2.0253164556962,0,0,0.392121181739971
Apidae,Animal,1181.2,1181,1181,2,1,0.0555555555555556,1.9873417721519,0,0,0.314997871825066
Apis,Animal,1181.2,1181,1181,2,2,0.727611940298508,1.70886075949367,0.00404315777129033,0.223718076065834,0.709294521332762
Aradidae,Animal,1181.2,1181,1181,2,1,0.0232558139534884,1.93670886075949,0,0,0.108616365108265
Arctophila,Animal,1181.2,1181,1181,2,1,0.0232558139534884,1.93670886075949,0,0,0.108616365108265
Asilidae,Animal,1181.2,1181,1181,2,1,0.5,2.12658227848101,0,0,0.83572795003795
Auchenorrhyncha,Animal,1181.2,1181,1181,2,3,0.260746606334842,1.64556962025316,0.00915325658887156,0.867563228481461,0.337730928292933
Bombus,Animal,1181.2,1181,1181,2,6,1.74574800416522,1.55696202531646,0.0234079059202345,1.24599966044882,0.540291809205925
Botanophila,Animal,1181.2,1181,1181,2,6,1.68105926581159,1.45569620253165,0.0205552416287481,1.79175946922806,0.387655352818478
Braconidae,Animal,1181.2,1181,1181,2,1,0.024390243902439,1.79746835443038,0,0,0.119903949423096
Bradysia,Animal,1181.2,1181,1181,2,5,0.603182813561882,1.44303797468354,0.0302930416759747,1.29636115979106,0.313246155444597
Calliphoridae,Animal,1181.2,1181,1181,2,5,0.863849923315752,1.58227848101266,0.00548324431555518,1.4201164366885,0.306595542988649
Carnidae,Animal,1181.2,1181,1181,2,2,0.523255813953488,1.91139240506329,0.00042776126643327,0.693147180559945,0.471243901541192
Cerambycidae,Animal,1181.2,1181,1181,2,1,0.0175438596491228,1.75949367088608,0,0,0.0418192001699856
Ceratopogonidae,Animal,1181.2,1181,1181,2,2,0.214705882352941,1.72151898734177,0,0.693147180559945,0.308071342912924
Chalcidoidea,Animal,1181.2,1181,1181,2,1,0.0175438596491228,1.75949367088608,0,0,0.0418192001699856
Cheilosia,Animal,1181.2,1181,1181,2,5,1.11440279906332,1.40506329113924,0.0292882398027016,1.47507631105469,0.262393323914875
Chloropidae,Animal,1181.2,1181,1181,2,5,0.339828726987981,1.46835443037975,0.027320226601057,1.6094379124341,0.222795092044069
Chrysomelidae,Animal,1181.2,1181,1181,2,4,1.36284722222222,1.64556962025316,0.0182741314774003,1.15374194270109,0.560177382837696
Chrysoteuchia,Animal,1181.2,1181,1181,2,1,0.015625,1.79746835443038,0,0,0.0143677002276986
Chrysotoxum,Animal,1181.2,1181,1181,2,2,0.144776119402985,1.77215189873418,0,0.562335144618808,0.301050646359539
Coenosia,Animal,1181.2,1181,1181,2,7,0.701199226407261,1.44303797468354,0.0316172812826414,1.6987829895138,0.311630895359665
Dolichopodidae,Animal,1181.2,1181,1181,2,2,0.0331688596491228,1.63291139240506,0.00510540848916902,0.693147180559945,0.0263842222180624
Elateridae,Animal,1181.2,1181,1181,2,2,0.0952380952380952,1.69620253164557,0.00166744925386128,0.562335144618808,0.299004739561002
Empididae,Animal,1181.2,1181,1181,2,10,1.95136776277858,1.22784810126582,0.093902831592572,1.83687435333653,0.231153004973595
Ephydridae,Animal,1181.2,1181,1181,2,1,0.04,1.89873417721519,0,0,0.23714422397675
Episyrphus,Animal,1181.2,1181,1181,2,2,0.0481997677119628,1.67088607594937,0.00301893967462719,0.693147180559945,0.115495667492855
Eristalis,Animal,1181.2,1181,1181,2,7,0.907775990462522,1.36708860759494,0.0538607351821729,1.06703514328193,0.513026890971295
Eupeodes,Animal,1181.2,1181,1181,2,1,0.024390243902439,1.79746835443038,0,0,0.119903949423096
Eusphalerum,Animal,1181.2,1181,1181,2,1,0.0555555555555556,1.9873417721519,0,0,0.314997871825066
Formica,Animal,1181.2,1181,1181,2,11,2.9608916793023,1.22784810126582,0.0742212358602767,2.14770780363871,0.23407746952184
Haematobia,Animal,1181.2,1181,1181,2,1,0.015625,1.79746835443038,0,0,0.0143677002276986
Halictus,Animal,1181.2,1181,1181,2,2,0.0387348969438522,1.65822784810127,0.00238964981784013,0.693147180559945,0.057196893275149
Hesperia,Animal,1181.2,1181,1181,2,1,0.0232558139534884,1.93670886075949,0,0,0.108616365108265
Heterostylodes,Animal,1181.2,1181,1181,2,1,0.0769230769230769,2.0253164556962,0,0,0.392121181739971
Ichneumonidae,Animal,1181.2,1181,1181,2,3,0.0832874870102084,1.54430379746835,0.0117677749517083,1.03972077083992,0.148867121823135
Lasioglossum,Animal,1181.2,1181,1181,2,6,0.296660065876995,1.34177215189873,0.0467522302333922,1.71184513523391,0.15733546614945
Leptothorax,Animal,1181.2,1181,1181,2,1,0.024390243902439,1.79746835443038,0,0,0.119903949423096
Lygaeidae,Animal,1181.2,1181,1181,2,1,0.2,2.06329113924051,0,0,0.618572111988375
Megaselia,Animal,1181.2,1181,1181,2,1,0.0294117647058824,1.72151898734177,0,0,0.162802310307742
Meigenia,Animal,1181.2,1181,1181,2,1,0.0555555555555556,1.9873417721519,0,0,0.314997871825066
Meoneura,Animal,1181.2,1181,1181,2,1,0.0232558139534884,1.93670886075949,0,0,0.108616365108265
Micropterix,Animal,1181.2,1181,1181,2,1,0.125,2.0253164556962,0,0,0.507183850113849
Miridae,Animal,1181.2,1181,1181,2,5,0.966844232783451,1.51898734177215,0.0111574680325477,0.895379904671339,0.461946848153154
Morellia,Animal,1181.2,1181,1181,2,1,0.0175438596491228,1.75949367088608,0,0,0.0418192001699856
Musca,Animal,1181.2,1181,1181,2,5,0.446467848726293,1.46835443037975,0.0159538509712488,1.42653372911315,0.239753187015237
Muscidae11,Animal,1181.2,1181,1181,2,1,0.03125,1.79746835443038,0,0,0.177195278062708
Muscidae3,Animal,1181.2,1181,1181,2,7,1.29662791126242,1.29113924050633,0.0576246683673381,1.55958115625988,0.256092783258014
Muscidae9,Animal,1181.2,1181,1181,2,4,0.200825305732049,1.54430379746835,0.00927355504256242,1.08889997534522,0.268581038979658
Myolepta,Animal,1181.2,1181,1181,2,1,0.0555555555555556,1.9873417721519,0,0,0.314997871825066
Nitidulidae,Animal,1181.2,1181,1181,2,1,0.024390243902439,1.79746835443038,0,0,0.119903949423096
Nomada,Animal,1181.2,1181,1181,2,1,0.0147058823529412,1.72151898734177,0,0,0
Pegoplata,Animal,1181.2,1181,1181,2,5,1.29823937908497,1.46835443037975,0.0370257100326101,1.08057384836485,0.390822418840915
Pempeliella,Animal,1181.2,1181,1181,2,1,0.015625,1.79746835443038,0,0,0.0143677002276986
Peripsocidae,Animal,1181.2,1181,1181,2,1,0.0555555555555556,1.9873417721519,0,0,0.314997871825066
Platycheirus,Animal,1181.2,1181,1181,2,4,0.553440779296793,1.51898734177215,0.00747096021096341,1.38629436111989,0.226818657847678
Plebejus,Animal,1181.2,1181,1181,2,1,0.0555555555555556,1.9873417721519,0,0,0.314997871825066
Rhingia,Animal,1181.2,1181,1181,2,1,0.25,2.0253164556962,0,0,0.6714559000759
Rhinophoridae,Animal,1181.2,1181,1181,2,1,0.0238095238095238,1.86075949367089,0,0,0.114192962914054
Saldidae,Animal,1181.2,1181,1181,2,1,0.0149253731343284,1.77215189873418,0,0,0.00351109343086791
Saltella,Animal,1181.2,1181,1181,2,4,0.3085407239819,1.50632911392405,0.0241166530515348,1.21488965394912,0.278708317343431
Sarcophagidae,Animal,1181.2,1181,1181,2,4,0.133724976308932,1.48101265822785,0.0371264550420607,1.33217904021012,0.149325180878337
Scaeva,Animal,1181.2,1181,1181,2,1,0.024390243902439,1.79746835443038,0,0,0.119903949423096
Scarabaeidae,Animal,1181.2,1181,1181,2,1,0.0350877192982456,1.75949367088608,0,0,0.204695055148333
Scathophagidae,Animal,1181.2,1181,1181,2,2,0.546875,1.77215189873418,0.000461914439024512,0.562335144618808,0.406118153305377
Scatopsidae,Animal,1181.2,1181,1181,2,1,0.0232558139534884,1.93670886075949,0,0,0.108616365108265
Sciaridae,Animal,1181.2,1181,1181,2,1,0.0294117647058824,1.72151898734177,0,0,0.162802310307742
Sepsis,Animal,1181.2,1181,1181,2,2,0.0675569520816968,1.63291139240506,0.00284177475000188,0.562335144618808,0.215812345373457
Syrphidae,Animal,1181.2,1181,1181,2,12,2.12350967166,1.13924050632911,0.164908566061592,2.15834150058433,0.168559522593017
Syrphus,Animal,1181.2,1181,1181,2,2,0.0799457994579946,1.68354430379747,0.0140991777784822,0.693147180559945,0.216074693126454
Tachinidae,Animal,1181.2,1181,1181,2,3,0.0619907108973405,1.59493670886076,0.0119706762446845,1.09861228866811,0.0698971012148574
Tenthredinidae,Animal,1181.2,1181,1181,2,2,1.01754385964912,1.75949367088608,0,0.693147180559945,0.520067055380437
Thomisidae,Animal,1181.2,1181,1181,2,3,0.238515406162465,1.64556962025316,0.00483646049156706,1.09861228866811,0.239724086238905
Thricops,Animal,1181.2,1181,1181,2,7,1.64496923278345,1.46835443037975,0.0227450506983834,1.6681739719974,0.362796200802066
Triphleba,Animal,1181.2,1181,1181,2,1,0.015625,1.79746835443038,0,0,0.0143677002276986
Alchemilla_xanthochlora,Plant,1181.3,1181,1181,3,10,5.41448793875488,1.47368421052632,0.0191387559808612,1.93846500603545,0.54342228404175
Calluna_vulgaris,Plant,1181.3,1181,1181,3,6,3.04670231729055,1.42105263157895,0.0467065390749601,1.04418684831137,0.696122674948242
Campanula_rotundifolia,Plant,1181.3,1181,1181,3,1,0.0588235294117647,1.68421052631579,0,0,0.24672624244728
Galium_mollugo,Plant,1181.3,1181,1181,3,1,0.0232558139534884,1.73684210526316,0,0,0
Homogyne_alpina,Plant,1181.3,1181,1181,3,1,0.0232558139534884,1.73684210526316,0,0,0
Leontodon_hispidus,Plant,1181.3,1181,1181,3,5,1.40023994093762,1.42105263157895,0.0300307587149692,1.47507631105469,0.414222345000544
Leucanthemum_vulgare,Plant,1181.3,1181,1181,3,20,7.36240599885101,1.21052631578947,0.271672362724994,2.67008646519517,0.392536377860345
Lotus_corniculatus,Plant,1181.3,1181,1181,3,1,0.0434782608695652,1.73684210526316,0,0,0.166358045442374
Pilosella_lactucella,Plant,1181.3,1181,1181,3,1,0.333333333333333,2.21052631578947,0,0,0.707909110157643
Pimpinella_major,Plant,1181.3,1181,1181,3,37,25.0678100541317,1.21052631578947,0.114957849168375,3.18387554053578,0.488311125452147
Plantago_media,Plant,1181.3,1181,1181,3,6,2.46847826086957,1.47368421052632,0.0122943722943723,1.41051355711484,0.704299765543241
Potentilla_aurea,Plant,1181.3,1181,1181,3,20,10.1530943711042,1.21052631578947,0.0971827295511506,2.53767951116155,0.508177608101296
Potentilla_erecta,Plant,1181.3,1181,1181,3,12,3.41636602062463,1.21052631578947,0.0971827295511506,2.06528328861355,0.409182155966245
Prunella_vulgaris,Plant,1181.3,1181,1181,3,1,0.0303030303030303,1.89473684210526,0,0,0.0703744938012353
Ranunculus_acris,Plant,1181.3,1181,1181,3,26,11.3300432376891,1.26315789473684,0.218498519024835,3.02078720113695,0.351470298542235
Scabiosa_columbaria,Plant,1181.3,1181,1181,3,5,1.93376623376623,1.36842105263158,0.0766894508999772,1.27900751927456,0.568536464079261
Scorzoneroides_autumnalis,Plant,1181.3,1181,1181,3,1,0.0714285714285714,1.78947368421053,0,0,0.298347004031021
Stellaria_graminea,Plant,1181.3,1181,1181,3,1,1,,0,0,1
Thymus_praecox,Plant,1181.3,1181,1181,3,5,4.10151515151515,1.73684210526316,0.00277511961722488,0.925780193177186,0.847445611692836
Trifolium_pratense,Plant,1181.3,1181,1181,3,5,3.22121212121212,1.63157894736842,0.0128708133971292,1.38629436111989,0.586087679085043
Trifolium_repens,Plant,1181.3,1181,1181,3,1,0.5,2.15789473684211,0,0,0.815711166851294
