"","f_elevation","transect","name","elevation","elevation2","elevation3","floral_phylo_diversity","floral_species_richness","floral_hill_shannon","floral_all_traits_weighted","floral_display_weighted","floral_morpho_weighted","floral_nectar_weighted","floral_pollen_weighted","floral_color_weighted","floral_all_traits_unweighted","floral_display_unweighted","floral_morpho_unweighted","floral_nectar_unweighted","floral_pollen_unweighted","floral_color_unweighted","pollinator_phylo_diversity","pollinator_species_richness","pollinator_hill_shannon","pollinator_unweighted","pollinator_weighted","weighted_NODF","H2","modularity","interaction_shannon_diversity","floral_abundance","pollinator_abundance","floral_cover"
"11","1860","2","1860.2",1862,3467044,6455635928,1472.4754225,22,6.939,0.777935660475114,0.768800106739351,0.460565609272797,0.207184397425493,0.501862652270783,0.782352137558718,0.821300402866326,0.798920255634393,0.633628617015662,0.283191131841796,0.574457140377971,0.936020204631528,6366.168752,24,7.996,0.50765974557176,0.168262964780112,29.6333791609382,0.262914756337366,0.183060894409734,2.68541412365123,2138,352,61.475
"12","1860","3","1860.3",1863,3470769,6466042647,2184.3753725,36,7.144,0.776658081138422,0.76388289879963,0.246596446326649,0.100943185998251,0.334599409744664,0.676812650997827,0.826813716817497,0.805398006767204,0.65665350152534,0.336981189204091,0.618832022662155,0.931015256023464,7361.913122,28,8.219,0.594936292246819,0.17752807256676,16.7000607164542,0.43244882342875,0.36353012465374,2.95327011684008,3921,304,41.383333335
"13","2080","1","2080.1",2072,4293184,8895477248,1922.934496,30,8.672,0.667480256225245,0.489075730823912,0.289739644553002,0.153988274109576,0.335662556307727,0.550073060933242,0.644920426500052,0.496538120036264,0.565372962006852,0.320457248329203,0.537216458086891,0.919220732426014,3391.564952,9,6.355,0.426006625699792,0.187400575090941,31.3725490196078,0.303468760776592,0.34435261707989,2.49859039197295,2120,33,61.25
"14","2080","2","2080.2",2084,4343056,9050928704,1180.7747705,17,3.471,0.732925624100311,0.586954088087965,0.638047815485355,0.426102801171003,0.678990597828289,0.936564087363699,0.867587004871666,0.663002724694416,0.826910018192191,0.466740018926132,0.768755712188164,0.988043712627955,5416.517307,23,10.093,0.636882568423184,0.29147985083788,24.4948789571695,0.386753143424949,0.423138376932223,3.20941677512761,805,232,43.966666669
"15","2080","3","2080.3",2085,4347225,9063964125,1623.5856255,25,7.741,0.652982006638523,0.202187951816931,0.474898931150483,0.181365536363941,0.606336084127598,0.852236256364426,0.922966332661559,0.785990390698571,0.886112898676574,0.599751086620017,0.889036812165291,0.9658081971492,5700.363982,21,10.412,0.73281262656139,0.359734519475885,17.8600288600289,0.366272221543751,0.411951436845623,3.56197577273738,4026,134,52.58333333
"16","2283","1","2283.1",2276,5180176,11790080576,2087.6004155,33,12.008,0.81575212220384,0.632273987894922,0.755225619085496,0.512429004623849,0.834327531305344,0.957737595570026,0.906070586957019,0.797593378888457,0.848136702805174,0.591682265343471,0.810243727642955,0.981165580125698,8493.040112,37,20.936,0.887503600788572,0.830859484927642,25.9047689706014,0.353924642852707,0.430839077193516,4.3189692866662,6249,390,47.733333332
"17","2283","2","2283.2",2283,5212089,11899199187,2262.7815495,39,14.978,0.866593935140988,0.670358121071868,0.770260998394412,0.50922956775416,0.88018148660374,0.984216866788408,0.868171890577571,0.76311953254886,0.766942118993292,0.49062500056986,0.760520421830181,0.980228649216589,7921.828642,32,16.816,0.83974703449539,0.785855755374991,14.4485289733224,0.450960574420706,0.508826446280992,3.88443048820994,2650,275,28.166666668
"18","2283","3","2283.3",2289,5239521,11993263569,1883.695602,36,12.814,0.773658398270235,0.568552751822612,0.698951045094618,0.513792424562812,0.802595072104556,0.946419664419189,0.779827130799041,0.65943453618054,0.621950120207986,0.358511165942258,0.59886522746867,0.953948949394904,9878.514002,41,21.478,0.897778397400282,0.811018096529339,9.92708333333333,0.4393197517864,0.495476421861262,4.17098783704228,6534,294,25.049999998
"19","2379","1","2379.1",2377,5650129,13430356633,1477.028571,21,4.817,0.341610737478988,0.0941302381622883,0.245790707508533,0.0962544785078872,0.262769615681709,0.835258577896455,0.628405656280521,0.463046590256443,0.572794134848486,0.260028020236558,0.520111902517349,0.8799872333996,5432.422562,16,10.976,0.409449489491922,0.223953951675155,31.6763191763192,0.348831349837289,0.386119672653842,3.02021129976997,1824,97,25.35
"20","2379","2","2379.2",2380,5664400,13481272000,1312.174101,21,3.524,0.00487855762511548,0.00125386995811082,0.320751787527556,0.133976409353903,0.301946651476897,0.418987014085675,0.605379121297908,0.282660497443894,0.664766586418409,0.39847110611595,0.580188471257268,0.87475855047052,5185.805057,16,9.75,0.50536939751079,0.267955884900882,21.0714285714286,0.587559476023391,0.489391235375769,2.66535491182232,2445,123,39.175
"21","2379","3","2379.3",2381,5669161,13498272341,2030.772984,30,8.744,0.158023203224336,0.0498695632372036,0.736937325997463,0.46420825483634,0.791389305449421,0.891255722717719,0.756638870513306,0.609112530013502,0.72942368031333,0.460716954374229,0.69455771974945,0.92581506476064,5964.755022,19,12.547,0.600558309079186,0.328987029796403,22.6253687315634,0.341178154824319,0.379374571120479,3.38773574794475,2225,101,39.375
"22","2587","1","2587.1",2580,6656400,17173512000,945.938279,13,5.723,0.538504449636017,0.359831159043479,0.503052731509173,0.347445720683256,0.408862475988742,0.527930188091852,0.559247672709939,0.288285740621573,0.553751360518862,0.24064418682656,0.494521154781963,0.737488279374866,4159.066762,15,6.217,0.452146105161017,0.322406017674527,30.2291666666667,0.288172350342225,0.243745434623813,2.57219277864428,1232,148,34.175
"23","2587","2","2587.2",2583,6671889,17233489287,1069.674254,16,4.453,0.0685778352996076,0.021651359668873,0.231551116063871,0.101601887578175,0.258680983186541,0.499974596637108,0.576496454246847,0.387854745833155,0.539920192007797,0.359232004139486,0.501513803165407,0.793140033063536,3734.503577,12,7.886,0.483163787495704,0.185191566301051,41.820987654321,0.179629094815212,0.241022694627981,2.67786942171689,1719,59,31.675
"24","2587","3","2587.3",2597,6744409,17515230173,734.442079,16,5.582,0,0,0.366490620221458,0.244877781969617,0.437357047777591,0.882765171276161,0.458945014275271,0.217494841150874,0.327723811399636,0.194095899732143,0.306084944532673,0.867793850583035,3311.485437,11,8.864,0.407455132536846,0.276926368739837,20.6436420722135,0.222754419873994,0.323341836734694,3.27286631494733,1623,59,22.4
